marker;r2_null;r2_full;r2_delta;lrt_stat;lrt_df;lrt_pvalue;beta_marker;beta_marker_se;beta_marker_pvalue;r2_delta_ci_low;r2_delta_ci_high;n_bootstrap
ctx_lh_cuneus;0.23935545664731914;0.4054208849662715;0.16606542831895235;15.609320301365699;1;7.786981594089625e-05;-15.880347631132205;3.7397937894970004;2.173137154304961e-05;0.03283787790910579;0.3912837193157579;500
ctx_lh_frontalpole;0.23935545664731914;0.3437987995301072;0.10444334288278809;8.145894160532748;1;0.0043158768701591355;41.970941665476815;14.302477633302159;0.0033406138923711757;0.006182147812593934;0.39731851068243496;500
ctx_lh_fusiform;0.23935545664731914;0.31846514202130805;0.07910968537398891;5.766407551654368;1;0.016335394893279395;-8.225641639089023;3.339045924700406;0.013759915999632421;0.003253451078706157;0.23392094393039403;500
ctx_lh_inferiortemporal;0.23935545664731914;0.38905013672097;0.14969468007365086;8.885594952923668;1;0.002874293650398131;-8.651230896436124;2.6699901771373487;0.0011945707156378836;-0.02588282824584759;0.29909976031306346;500
ctx_lh_inferiorparietal;0.23935545664731914;0.4328483218709569;0.19349286522363776;19.51795584511217;1;9.965848768280521e-06;-5.844210234897472;1.2326445563202528;2.1245959250626596e-06;0.1204964087589055;0.428478894732551;500
ctx_lh_insula;0.23935545664731914;0.3633327448424907;0.12397728819517154;9.083859861581459;1;0.0025787519929475304;-19.818973908941274;6.364008841068282;0.0018442697487252714;0.00384525949999798;0.3639164949029461;500
ctx_lh_isthmuscingulate;0.23935545664731914;0.344068399988232;0.10471294334091288;5.593995780539956;1;0.018022139388719056;-24.44009937313278;9.928225923693894;0.013828860152227295;-0.05311215501834687;0.31996726150808863;500
ctx_lh_lateralorbitofrontal;0.23935545664731914;0.28232223948780166;0.042966782840482526;2.6306548898251663;1;0.10481847150910724;8.526698728658229;5.188054925289291;0.10027432699662531;-0.009317799816874443;0.28125694820335595;500
ctx_lh_lingual;0.23935545664731914;0.5551464802454148;0.31579102359809563;24.81663210518758;1;6.305107954668289e-07;-14.96621360759505;2.5861710038248944;7.164765286802885e-09;0.08805000365373752;0.49568114153198956;500
ctx_lh_lateraloccipital;0.23935545664731914;0.3442377727166303;0.10488231606931117;8.416224812725432;1;0.0037188717880029015;-6.821626972250498;2.339415333231866;0.0035460303370993163;0.008356356582137427;0.36188857066052027;500
ctx_lh_medialorbitofrontal;0.23935545664731914;0.4067088577715749;0.16735340112425576;14.987424069730537;1;0.00010823005147044398;22.61070953705636;5.4500906986179585;3.34390555451795e-05;0.009525697579180745;0.38840181321144085;500
ctx_lh_middletemporal;0.23935545664731914;0.3910560438026768;0.15170058715535764;11.848829360420439;1;0.000576976048043877;-7.976488654788657;2.198962312908294;0.00028630332918246136;0.03413033612715339;0.35627381493294075;500
ctx_lh_parahippocampal;0.23935545664731914;0.2869169640062977;0.047561507358978544;3.9077057504038066;1;0.04806517097780309;29.78625842154534;14.887139021054617;0.04541343567003797;-0.004434710805752438;0.25217388063466023;500
ctx_lh_paracentral;0.23935545664731914;0.3476553099744772;0.10829985332715805;10.434802482792804;1;0.0012366277199400985;-20.733696358416346;6.115384246101029;0.0006978664726689953;0.03293412806263884;0.304912003921012;500
ctx_lh_parsopercularis;0.23935545664731914;0.24658150081669145;0.007226044169372309;0.7672083466441677;1;0.38108206051058324;-3.7744474803399792;4.301675189450815;0.38024951213620417;-0.007651150390164653;0.14633731428900834;500
ctx_lh_parsorbitalis;0.23935545664731914;0.2690581533304101;0.029702696683090973;1.7940787836876666;1;0.18042999260804932;11.271609822358425;8.369527671281794;0.17806274807132516;-0.015257454190742875;0.21955058610960393;500
ctx_lh_pericalcarine;0.23935545664731914;0.35196257280239684;0.11260711615507771;8.153421844895888;1;0.004297998564607029;-18.384064536060464;6.277166244383339;0.0034036048739747504;0.0018128971159442387;0.37947910064986934;500
ctx_lh_parstriangularis;0.23935545664731914;0.2884100201479554;0.04905456350063628;4.434612267074272;1;0.03521721806915289;-10.146406188736044;4.775783614353325;0.03362391547414755;-0.0032957709143676094;0.26238740939451266;500
ctx_lh_postcentral;0.23935545664731914;0.3162897290741078;0.07693427242678866;4.827392695807987;1;0.028010960673101395;-6.319321495411443;2.783737288220786;0.02320239937870072;-0.0005158579539686675;0.24724501810403082;500
ctx_lh_posteriorcingulate;0.23935545664731914;0.4907052299902087;0.25134977334288955;23.908379496702253;1;1.0103104173659848e-06;-26.04779701627136;4.834837117304017;7.14352669872743e-08;0.16526652168964243;0.48163083516865624;500
ctx_lh_precuneus;0.23935545664731914;0.4740342746315397;0.23467881798422055;18.74173655626032;1;1.496705081821818e-05;-11.296461072132775;2.4145493099166173;2.8898576603027416e-06;0.11074102122179642;0.44217385145947985;500
ctx_lh_precentral;0.23935545664731914;0.30562141905149715;0.06626596240417801;3.6143766423406305;1;0.057282184840881795;-5.194612399364883;2.658555258389196;0.050710318151503904;-0.021623932172534624;0.24630434789512698;500
